#	MJD	f0	f1	asini_i	pb_i	e_i	om_i	t0_i	asini_o	pb_o	e_o	om_o	t0_o	z_i	vz_i
55920	365.95327414754996	-6.5526221589599981e-15	1.2175299676915512672	1.629401735908282284	0.0006921715707317222547	97.611426034141320636	55919.219532278407161	74.672663767844384	327.25756096585263	0.035356197319165249	95.619042902518885	55989.926677263269	18.836264015022009036	1.3825694718068588656
55921	365.95327414754996	-6.5526221589599981e-15	1.2175321751894208795	1.6294061747613458591	0.00066447811632118633196	97.392564565907206536	55920.847953735816827	74.672656025278314	327.25750996284319	0.035356770242149019	95.619437919135734	55989.9269625464	20.215200470496823667	1.3752149291721546826
55922	365.95327414754996	-6.5526221589599981e-15	1.217544128087718009	1.6294301786497289451	0.00068356624491648761741	96.676363875774088637	55922.474137395654338	74.672604096109922	327.25716850874522	0.035357727576498583	95.620991655562577	55989.928185531542	21.586515233387523283	1.3673258878746250404
55923	365.95327414754996	-6.5526221589599981e-15	1.2175459400885999751	1.629433827206575624	0.00067787029290861594984	98.14436114548484491	55922.480782696539784	74.672604200458068	327.25716903117427	0.035359394166596114	95.62175306607017	55989.928698428972	22.949674796129539821	1.3589040585658799065
55924	365.95327414754996	-6.5526221589599981e-15	1.2175348067514658681	1.6294114878169274232	0.00066629869847838376905	96.766499855182458278	55924.103975661212548	74.672665364043141	327.25757089296764	0.035360913156712206	95.621138145678273	55989.928078515492	24.304146842959402131	1.3499510960065796935
55925	365.95327414754996	-6.5526221589599981e-15	1.2175286529483128093	1.6293991426284803942	0.00069138312724127943848	97.555754784724685688	55925.736958919664634	74.672698886603811	327.2577911041144	0.035361651897691408	95.620775976087685	55989.927726064183	25.649400284046599463	1.3404677989873404505
55926	365.95327414754996	-6.5526221589599981e-15	1.2175378045755519564	1.6294175239679999224	0.00066567896986793942293	97.541996033567962436	55925.736907481202341	74.672658172379883	327.25752334702935	0.03536226424526559	95.622037495267108	55989.928736458765	26.984905368061653385	1.3304549143449059048
55927	365.95327414754996	-6.5526221589599981e-15	1.2175474768757708414	1.6294369529321148001	0.00067943714314113399421	96.441689033727233948	55927.361357169170855	74.672618724733084	327.25726388220227	0.03536352801025168	95.623686129295706	55989.930028187046	28.310134023304014246	1.3199146200775822003
55928	365.95327414754996	-6.5526221589599981e-15	1.2175415014665746022	1.6294249700767926994	0.00067950787198242176304	98.004088173709586133	55927.368430965672896	74.672656406798268	327.2575113713329	0.035365251939180949	95.623914344346844	55989.930109497203	29.624560246052101337	1.3088499452722455439
55929	365.95327414754996	-6.5526221589599981e-15	1.2175298890012364974	1.6294016692419389576	0.00066129507942527940059	96.737527123030524812	55928.992122961573404	74.672718217299163	327.25791747828896	0.035366469628886767	95.62330663109465	55989.929528504472	30.927660379682304111	1.2972632705901624182
55930	365.95327414754996	-6.5526221589599981e-15	1.2175313436452797834	1.6294045989839294659	0.00068829614334009789101	97.41528484634618143	55930.624603868568851	74.672714222058516	327.25789107074576	0.035366988978065762	95.623764923476514	55989.929879899377	32.218913114299444156	1.2851562928757776415
55931	365.95327414754996	-6.5526221589599981e-15	1.2175435350975864988	1.6294290857698910652	0.00066659074314379828912	97.747701780303260136	55930.626116056820774	74.672660016075127	327.25753458776319	0.035367791851372558	95.625626034253173	55989.931385437623	33.497799685788327236	1.2725312971062985335
