# MJD - 55920            Delay (s)    Scope/Freq  Err(us)
  13.330995730691939    38.54809259      GBT820   2.680
  22.816741724025633    48.90981841      GBT820   1.990
  22.817394106823485    48.91058302      GBT820   2.120
  22.818046521337237    48.91135588      GBT820   2.540
  22.818698904258781    48.91213170      GBT820   2.350
  22.819351287325844    48.91291995      GBT820   2.520
  22.820003670494771    48.91371646      GBT820   2.270
  22.820656085270457    48.91451225      GBT820   2.800
  22.821308468694042    48.91533086      GBT820   1.940
  22.821960852052143    48.91614466      GBT820   2.130
  22.822613235635799    48.91697752      GBT820   2.740
  22.823265650768008    48.91780338      GBT820   2.180
  22.823918034489907    48.91864823      GBT820   2.210
  22.824570418197254    48.91949222      GBT820   2.120
  22.825222802079224    48.92035079      GBT820   2.150
  22.825875217662542    48.92121549      GBT820   2.250
  22.826527601777343    48.92209449      GBT820   2.170
  23.846977275265090    52.04052197      GBT820   3.740
  23.847192776796874    52.03999432      GBT820   3.790
  23.847408309957245    52.03946704      GBT820   3.780
  23.847623843001202    52.03892894      GBT820   3.130
  23.847839344452950    52.03839470      GBT820   4.040
  23.848054877598770    52.03786624      GBT820   4.300
  23.848270410686382    52.03733219      GBT820   4.110
  23.848485912225442    52.03680500      GBT820   3.680
  23.848701445254846    52.03626628      GBT820   3.010
  23.848916978371562    52.03573546      GBT820   3.180
  23.849132479670516    52.03518739      GBT820   3.740
  23.849348012743576    52.03465233      GBT820   4.240
  23.849563545896672    52.03412418      GBT820   3.340
  23.849779047370248    52.03359204      GBT820   2.990
  23.849994580355997    52.03304942      GBT820   2.930
  23.850210113341745    52.03250658      GBT820   3.580
  23.850425614851702    52.03197700      GBT820   3.120
  23.850641147844726    52.03143526      GBT820   3.380
  23.850856649281923    52.03089974      GBT820   3.910
  23.851072182231292    52.03035403      GBT820   4.160
  23.851287715253420    52.02981444      GBT820   4.220
  23.851503216610581    52.02927172      GBT820   3.340
  23.851718749639986    52.02873304      GBT820   3.940
  23.851934282480215    52.02817782      GBT820   3.400
  23.852149784019275    52.02765106      GBT820   2.850
  23.852365316910436    52.02710015      GBT820   4.410
  23.852580849947117    52.02656202      GBT820   3.920
  23.852796351326106    52.02602109      GBT820   4.270
  23.853011884224543    52.02547115      GBT820   3.690
  23.853227417130256    52.02492174      GBT820   4.710
  23.853442918436485    52.02437419      GBT820   3.650
  23.853658451371302    52.02382739      GBT820   3.790
  25.864584780887526    52.49513225      GBT820   3.870
  25.864794463479484    52.49464497      GBT820   2.080
  25.865004177700030    52.49415704      GBT820   3.530
  25.865213860350195    52.49367422      GBT820   4.040
  25.865423542985809    52.49319059      GBT820   3.210
  25.865633257184527    52.49270130      GBT820   3.770
  25.865842939754657    52.49221174      GBT820   3.660
  25.866052654040686    52.49172966      GBT820   3.410
  25.866262336690852    52.49124733      GBT820   3.550
  25.866472050904122    52.49075886      GBT820   3.930
  25.866681733597943    52.49027983      GBT820   3.020
  25.866891447796661    52.48979046      GBT820   4.060
  25.867101130534138    52.48931554      GBT820   3.300
  25.867310813191580    52.48883361      GBT820   3.970
  25.867520527492161    52.48835270      GBT820   3.650
  25.867730210200534    52.48787553      GBT820   3.200
  26.781924139933835    55.40053486      GBT820   5.280
  26.782139654787898    55.40115830      GBT820   4.950
  26.782355169234506    55.40174640      GBT820   5.480
  26.782570684081293    55.40236937      GBT820   4.120
  26.782786198687973    55.40297135      GBT820   4.340
  26.783001745039655    55.40358369      GBT820   4.930
  26.783217259748199    55.40419481      GBT820   4.390
  26.783432774333050    55.40479496      GBT820   4.430
  26.783648289005214    55.40540254      GBT820   4.880
  26.783863835487864    55.40602635      GBT820   4.180
  26.784079350021784    55.40662185      GBT820   4.790
  26.784294864606636    55.40722230      GBT820   5.700
  26.784510379387939    55.40783953      GBT820   4.380
  26.784725893907307    55.40843395      GBT820   3.640
  26.784941440084367    55.40903105      GBT820   4.330
  26.785156954771082    55.40964008      GBT820   3.780
  26.785372469319555    55.41023710      GBT820   4.350
  26.785587983984442    55.41084423      GBT820   4.480
  26.785803498452879    55.41143444      GBT820   3.690
  26.786019044659042    55.41203390      GBT820   4.350
  26.786234559171135    55.41262773      GBT820   4.080
  26.786450073799642    55.41323213      GBT820   5.050
  26.786665588369942    55.41383120      GBT820   4.170
  26.786881134386931    55.41441408      GBT820   5.520
  26.787096649008163    55.41501780      GBT820   4.530
  26.787312163549359    55.41561422      GBT820   4.010
  26.787527678126935    55.41621358      GBT820   3.180
  26.787743192493508    55.41679470      GBT820   3.710
  26.787958738685120    55.41739307      GBT820   5.160
  26.788174253044417    55.41797394      GBT820   4.710
  26.788389767491026    55.41856252      GBT820   5.470
  26.788605282155913    55.41916914      GBT820   4.750
  26.841536856925813    55.53955733      GBT820   4.000
  26.841752369087772    55.53994856      GBT820   3.950
  26.841967881126038    55.54032878      GBT820   3.570
  26.842183424887480    55.54071710      GBT820   3.690
  26.842398937020334    55.54110539      GBT820   3.940
  26.842614449131361    55.54149157      GBT820   3.870
  26.842829961256939    55.54187981      GBT820   3.870
  26.843045504931069    55.54226028      GBT820   4.500
  26.843261016911129    55.54263551      GBT820   3.800
  26.843476529043983    55.54302379      GBT820   3.350
  26.843692072798149    55.54341168      GBT820   3.510
  26.843907584850967    55.54379326      GBT820   3.560
  26.844123096852854    55.54416987      GBT820   4.240
  26.844338608883845    55.54454977      GBT820   3.720
  26.844554152565252    55.54493151      GBT820   3.690
  26.844769664516207    55.54530375      GBT820   3.910
  26.844985176532646    55.54568217      GBT820   2.940
  26.845200720272260    55.54606902      GBT820   3.310
  26.845416232165007    55.54643630      GBT820   4.000
  26.845631744086859    55.54680674      GBT820   3.470
  26.845847287637298    55.54717667      GBT820   3.920
  26.846062799624633    55.54755256      GBT820   3.620
  26.846278311670176    55.54793351      GBT820   3.730
  26.846493823599303    55.54830394      GBT820   3.770
  26.846709367098811    55.54866993      GBT820   3.810
  26.846924878977006    55.54903633      GBT820   3.760
  26.847140390891582    55.54940544      GBT820   3.260
  26.847355934340158    55.54976725      GBT820   3.490
  26.847571446327493    55.55014294      GBT820   3.070
  26.847786958322104    55.55051902      GBT820   3.580
  26.848002501821611    55.55088481      GBT820   3.430
  26.848218013539736    55.55123728      GBT820   4.010
  26.906334317856818    55.61886332      GBT820   4.070
  26.906549827057461    55.61899804      GBT820   3.370
  26.906765336272656    55.61913416      GBT820   4.160
  26.906980877007300    55.61926104      GBT820   4.270
  26.907196386193391    55.61939533      GBT820   3.420
  26.907411927051726    55.61953300      GBT820   3.680
  26.907627436215989    55.61966457      GBT820   4.300
